episode,total_reward,episode_length,loss
20,20.65996978312203,77,6.170995712280273
40,55.68485929070094,12,-9.505383491516113
60,32.91911227515883,12,-10.51755428314209
80,33.826062031558855,12,-8.268842697143555
100,12.822670253359256,38,0.3014882802963257
120,34.24749303493926,116,13.828397750854492
140,46.31638818894848,51,4.023752689361572
160,30.894171471180865,25,-2.837646722793579
180,24.108490453387194,38,-0.8889638781547546
200,39.7405265379128,38,0.9263002276420593
220,39.67594978431735,12,-0.24319542944431305
240,28.244830046360875,12,-0.03754778578877449
260,49.90785973396716,51,0.0016357945278286934
280,47.681062962130774,103,0.0008494991343468428
300,25.26991714018134,25,-0.00010794977424666286
320,29.596109191916995,77,0.00041306091588921845
340,31.221023843701587,12,-0.00010835476132342592
360,27.780582571036454,77,0.0003774311626330018
380,34.58820947001462,77,0.0003462164895609021
400,33.42510859738832,51,4.8533409426454455e-05
420,36.19704979155901,12,-6.788348400732502e-05
440,48.27942527570791,38,4.448456093086861e-05
460,14.897598690333162,12,-4.315369369578548e-05
480,42.599876272334214,129,0.0003674977633636445
500,71.66354755919232,116,0.00017561219283379614
520,59.39214233197636,116,0.00026634670211933553
540,55.674499298142536,155,0.0002986017498187721
560,37.72988683696681,129,0.00022274244111031294
580,29.053849024199398,25,-1.6458525351481512e-05
600,33.37102663604228,12,-2.079603109450545e-05
620,42.09254870464166,12,-1.9000699467142113e-05
640,34.0168904575049,90,7.528177229687572e-05
660,32.953680119155564,51,3.229959838790819e-05
680,54.601869264690386,181,0.00020780500199180096
700,29.864742210453002,103,0.00012706147390417755
720,50.928712393550185,220,0.00019818216969724745
740,29.509975137684325,38,4.277143830222485e-07
760,56.95601609805394,116,0.00011036610521841794
780,63.15514820561688,51,3.575855589588173e-05
800,24.018094616535738,12,-9.449711797060445e-06
